tanggal,stasiun,pm10,so2,co,o3,no2,categori
5/2/2020,DKI1 (Bunderan HI),32,2,12,29,9,BAIK
5/3/2020,DKI1 (Bunderan HI),52,5,11,35,9,SEDANG
5/4/2020,DKI1 (Bunderan HI),50,4,4,30,8,BAIK
5/5/2020,DKI1 (Bunderan HI),51,7,7,34,9,SEDANG
5/6/2020,DKI1 (Bunderan HI),44,4,4,29,7,BAIK
5/7/2020,DKI1 (Bunderan HI),50,4,3,48,9,BAIK
5/8/2020,DKI1 (Bunderan HI),60,4,4,60,10,SEDANG
5/9/2020,DKI1 (Bunderan HI),56,4,3,34,12,SEDANG
5/10/2020,DKI1 (Bunderan HI),64,5,3,44,12,SEDANG
5/11/2020,DKI1 (Bunderan HI),44,2,4,47,8,BAIK
5/12/2020,DKI1 (Bunderan HI),47,3,4,62,10,SEDANG
5/13/2020,DKI1 (Bunderan HI),54,2,3,38,8,SEDANG
5/14/2020,DKI1 (Bunderan HI),56,7,9,42,9,SEDANG
5/15/2020,DKI1 (Bunderan HI),60,7,7,40,9,SEDANG
5/16/2020,DKI1 (Bunderan HI),58,6,8,57,8,SEDANG
5/17/2020,DKI1 (Bunderan HI),60,6,8,83,7,SEDANG
5/18/2020,DKI1 (Bunderan HI),54,4,6,43,10,SEDANG
5/19/2020,DKI1 (Bunderan HI),30,8,8,59,13,SEDANG
5/20/2020,DKI1 (Bunderan HI),50,12,10,34,8,BAIK
5/21/2020,DKI1 (Bunderan HI),27,7,7,49,9,BAIK
5/22/2020,DKI1 (Bunderan HI),58,8,7,42,8,SEDANG
5/23/2020,DKI1 (Bunderan HI),42,3,10,52,8,SEDANG
5/24/2020,DKI1 (Bunderan HI),41,3,8,43,5,BAIK
5/25/2020,DKI1 (Bunderan HI),26,2,4,27,5,BAIK
5/26/2020,DKI1 (Bunderan HI),32,4,5,29,8,BAIK
5/27/2020,DKI1 (Bunderan HI),22,4,4,65,8,SEDANG
5/28/2020,DKI1 (Bunderan HI),44,5,6,90,16,SEDANG
5/29/2020,DKI1 (Bunderan HI),58,8,6,74,12,SEDANG
5/30/2020,DKI1 (Bunderan HI),52,16,7,41,10,SEDANG
5/31/2020,DKI1 (Bunderan HI),48,14,7,46,9,BAIK
6/1/2020,DKI1 (Bunderan HI),50,14,10,45,9,BAIK
6/2/2020,DKI1 (Bunderan HI),44,14,7,37,8,BAIK
6/3/2020,DKI1 (Bunderan HI),41,14,4,31,8,BAIK
6/4/2020,DKI1 (Bunderan HI),45,18,4,28,8,BAIK
6/5/2020,DKI1 (Bunderan HI),56,18,6,60,12,SEDANG
6/6/2020,DKI1 (Bunderan HI),69,18,7,74,13,SEDANG
6/7/2020,DKI1 (Bunderan HI),55,16,5,65,9,SEDANG
6/8/2020,DKI1 (Bunderan HI),59,15,5,33,10,SEDANG
6/9/2020,DKI1 (Bunderan HI),58,14,6,41,12,SEDANG
6/10/2020,DKI1 (Bunderan HI),67,16,10,34,10,SEDANG
6/11/2020,DKI1 (Bunderan HI),63,16,6,40,10,SEDANG
6/12/2020,DKI1 (Bunderan HI),49,15,6,58,13,SEDANG
6/13/2020,DKI1 (Bunderan HI),60,16,6,61,10,SEDANG
6/14/2020,DKI1 (Bunderan HI),60,15,6,61,12,SEDANG
6/15/2020,DKI1 (Bunderan HI),70,13,8,54,13,SEDANG
6/16/2020,DKI1 (Bunderan HI),67,16,8,35,11,SEDANG
6/17/2020,DKI1 (Bunderan HI),56,15,5,49,8,SEDANG
6/18/2020,DKI1 (Bunderan HI),60,17,6,56,9,SEDANG
